condition,kind,gap,rep_strength,info_level,flip_model,flip_bayes,lag,anchor_lambda,final_lambda,oracle,mean_overtrust,rmse
gap1.5_moderate_lean,main,1.5,moderate,lean,2,10,-8,0.24171772763733657,0.5884571142713999,0.6923076923076923,-0.018087337540423798,35.86945877549174
gap2.0_moderate_lean,main,2.0,moderate,lean,2,5,-3,0.25218405729499105,0.6597021616405693,0.7999999999999999,-0.9264946101989846,1.2869620752394038e+56
gap3.0_moderate_lean,main,3.0,moderate,lean,2,3,-1,0.23848219870913226,0.695640796558252,0.9,-0.021889671550544255,15.023258923723962
gap5.0_moderate_lean,main,5.0,moderate,lean,2,2,0,0.2468968556523457,0.7828788147099792,0.9615384615384616,0.05850724004296198,30.398179787942553
gap2.0_faint_lean,rep,2.0,faint,lean,2,5,-3,0.26028514954222,0.6456692798527065,0.7999999999999999,-0.08767406691047197,12.167567063394754
gap2.0_strong_lean,rep,2.0,strong,lean,2,5,-3,0.13447471847641299,0.5621712924752355,0.7999999999999999,0.06140748762178644,15840.288606487176
gap2.0_moderate_self_history,info,2.0,moderate,self_history,2,5,-3,0.24958554863010962,0.6443920208698567,0.7999999999999999,-0.02615336079995216,35.07327614180086
gap2.0_moderate_summary,info,2.0,moderate,summary,2,5,-3,0.24577077762878977,0.8150658714211106,0.7999999999999999,-0.18294469354088516,20.86073303251479
gap2.0_moderate_full,info,2.0,moderate,full,2,5,-3,0.24868697737997955,0.8379841338557122,0.7999999999999999,-0.17239072563942523,33.21436122311336
gap2.0_robust_swaplabels,robust,2.0,moderate,lean,2,5,-3,0.2330909367493554,0.7167485651124315,0.7999999999999999,-0.1543077121511527,11.967716832417612
gap2.0_robust_order,robust,2.0,moderate,lean,2,5,-3,0.1947699410412254,0.725248286833415,0.7999999999999999,-0.17779957066494115,12.15952728070417
gap2.0_robust_paraphrase,robust,2.0,moderate,lean,2,5,-3,0.22587265559662892,0.6318383103396655,0.7999999999999999,-5.047377791221726,129.70135720966442
gap2.0_moderate_no_advisor,sanity,2.0,moderate,no_advisor,,,,,,,,141.56870208380013
